COMPUTED FEM SOLUTION:
phi[566] = 4.188338
phi[567] = 4.228545
phi[568] = 4.268741
phi[569] = 4.308927
phi[570] = 4.349103
phi[571] = 4.389269
phi[572] = 4.429427
phi[573] = 4.469577
phi[574] = 4.509718
phi[575] = 4.549852
phi[576] = 4.589978
phi[577] = 4.630097
phi[578] = 4.670209
phi[579] = 4.710314
phi[580] = 4.750413
phi[581] = 4.790506
phi[582] = 4.830593
phi[583] = 4.870675
phi[584] = 4.910751
phi[585] = 4.950822
phi[586] = 4.990887
phi[587] = 5.030948
phi[588] = 5.071004
phi[589] = 5.111055
phi[590] = 5.151102
phi[591] = 5.191144
phi[592] = 5.231182
phi[593] = 5.271216
phi[594] = 5.311246
phi[595] = 5.351271
phi[596] = 5.391293
phi[597] = 5.431310
phi[598] = 5.471324
phi[599] = 5.511334
phi[600] = 5.551339
phi[601] = 5.591341
phi[602] = -4.836410
phi[603] = -4.806418
phi[604] = -4.776441
phi[605] = -4.746478
phi[606] = -4.716530
phi[607] = -4.686597
phi[608] = -4.656679
phi[609] = -4.626776
phi[610] = -4.596889
phi[611] = -4.567016
phi[612] = -4.537159
phi[613] = -4.507318
phi[614] = -4.477492
phi[615] = -4.447682
phi[616] = -4.417888
phi[617] = -4.388110
phi[618] = -4.358349
phi[619] = -4.328605
phi[620] = -4.298877
phi[621] = -4.269167
phi[622] = -4.239474
phi[623] = -4.209800
phi[624] = -4.180143
phi[625] = -4.150505
phi[626] = -4.120886
phi[627] = -4.091286
phi[628] = -4.061706
phi[629] = -4.032146
phi[630] = -4.002607
phi[631] = -3.973089
phi[632] = -3.943592
phi[633] = -3.914118
phi[634] = -3.884666
phi[635] = -3.855238
phi[636] = -3.825833
phi[637] = -3.796453
phi[638] = -3.767099
phi[639] = -3.737770
phi[640] = -3.708468
phi[641] = -3.679193
phi[642] = -3.649946
phi[643] = -3.620729
phi[644] = -3.591541
phi[645] = -3.562384
phi[646] = -3.533260
phi[647] = -3.504168
phi[648] = -3.475110
phi[649] = -3.446087
phi[650] = -3.417100
phi[651] = -3.388151
phi[652] = -3.359240
phi[653] = -3.330370
phi[654] = -3.301541
phi[655] = -3.272754
phi[656] = -3.244012
phi[657] = -3.215316
phi[658] = -3.186668
phi[659] = -3.158069
phi[660] = -3.129521
phi[661] = -3.101027
phi[662] = -3.072588
phi[663] = -3.044207
phi[664] = -3.015886
phi[665] = -2.987626
phi[666] = -2.959432
phi[667] = -2.931305
phi[668] = -2.903249
phi[669] = -2.875266
phi[670] = -2.847359
phi[671] = -2.819533
phi[672] = -2.791791
phi[673] = -2.764136
phi[674] = -2.736572
phi[675] = -2.709105
phi[676] = -2.681739
phi[677] = -2.654479
phi[678] = -2.627331
phi[679] = -2.600300
phi[680] = -2.573394
phi[681] = -2.546618
phi[682] = -2.519980
phi[683] = -2.493490
phi[684] = -2.467154
phi[685] = -2.440985
phi[686] = -2.414992
phi[687] = -2.389189
phi[688] = -2.363588
phi[689] = -2.338205
phi[690] = -2.313058
phi[691] = -2.288167
phi[692] = -2.263556
phi[693] = -2.239250
phi[694] = -2.215283
phi[695] = -2.191693
phi[696] = -2.168527
phi[697] = -2.145843
phi[698] = -2.123713
phi[699] = -2.102229
phi[700] = -2.081506
phi[701] = -2.061678
phi[702] = -2.042885
phi[703] = -2.022549
phi[704] = -2.001930
phi[705] = -1.980927
phi[706] = -1.959518
phi[707] = -1.937707
phi[708] = -1.915510
phi[709] = -1.892942
phi[710] = -1.870023
phi[711] = -1.846768
phi[712] = -1.823193
phi[713] = -1.799311
phi[714] = -1.775135
phi[715] = -1.750677
phi[716] = -1.725945
phi[717] = -1.700948
phi[718] = -1.675695
phi[719] = -1.650193
phi[720] = -1.624447
phi[721] = -1.598464
phi[722] = -1.572248
phi[723] = -1.545804
phi[724] = -1.519137
phi[725] = -1.492249
phi[726] = -1.465144
phi[727] = -1.437825
phi[728] = -1.410295
phi[729] = -1.382555
phi[730] = -1.354608
phi[731] = -1.326455
phi[732] = -1.298098
phi[733] = -1.269537
phi[734] = -1.240775
phi[735] = -1.211812
phi[736] = -1.182648
phi[737] = -1.153284
phi[738] = -1.123720
phi[739] = -1.093957
phi[740] = -1.063993
phi[741] = -1.033829
phi[742] = -1.003465
phi[743] = -0.972900
phi[744] = -0.942132
phi[745] = -0.911162
phi[746] = -0.879988
phi[747] = -0.848609
phi[748] = -0.817023
phi[749] = -0.785230
phi[750] = -0.753227
phi[751] = -0.721012
phi[752] = -0.688584
phi[753] = -0.655940
phi[754] = -0.623077
phi[755] = -0.589994
phi[756] = -0.556688
phi[757] = -0.523155
phi[758] = -0.489392
phi[759] = -0.455396
phi[760] = -0.421164
phi[761] = -0.386690
phi[762] = -0.351972
phi[763] = -0.317005
phi[764] = -0.281783
phi[765] = -0.246302
phi[766] = -0.210557
phi[767] = -0.174541
phi[768] = -0.138248
phi[769] = -0.101672
phi[770] = -0.064806
phi[771] = -0.027641
phi[772] = 0.009830
phi[773] = 0.047616
phi[774] = 0.085727
phi[775] = 0.124174
phi[776] = 0.162968
phi[777] = 0.202120
phi[778] = 0.241644
phi[779] = 0.281556
phi[780] = 0.321870
phi[781] = 0.362605
phi[782] = 0.403780
phi[783] = 0.445417
phi[784] = 0.487540
phi[785] = 0.530176
phi[786] = 0.573357
phi[787] = 0.617116
phi[788] = 0.661496
phi[789] = 0.706542
phi[790] = 0.752309
phi[791] = 0.798864
phi[792] = 0.846284
phi[793] = 0.894667
phi[794] = 0.944134
phi[795] = 0.994843
phi[796] = 1.047002
phi[797] = 1.100894
phi[798] = 1.156915
phi[799] = 1.215604
phi[800] = 1.277601
phi[801] = 1.343255
phi[802] = 1.411146
phi[803] = 1.468224
phi[804] = 1.523535
phi[805] = 1.576562
phi[806] = 1.627695
phi[807] = 1.677350
phi[808] = 1.725838
phi[809] = 1.773385
phi[810] = 1.820158
phi[811] = 1.866279
phi[812] = 1.911846
phi[813] = 1.956933
phi[814] = 2.001601
phi[815] = 2.045900
phi[816] = 2.089872
phi[817] = 2.133551
phi[818] = 2.176967
phi[819] = 2.220145
phi[820] = 2.263107
phi[821] = 2.305873
phi[822] = 2.348459
phi[823] = 2.390880
phi[824] = 2.433149
phi[825] = 2.475279
phi[826] = 2.517280
phi[827] = 2.559161
phi[828] = 2.600932
phi[829] = 2.642599
phi[830] = 2.684171
phi[831] = 2.725652
phi[832] = 2.767051
phi[833] = 2.808371
phi[834] = 2.849619
phi[835] = 2.890798
phi[836] = 2.931912
phi[837] = 2.972967
phi[838] = 3.013965
phi[839] = 3.054910
phi[840] = 3.095804
phi[841] = 3.136652
phi[842] = 3.177455
phi[843] = 3.218216
phi[844] = 3.258938
phi[845] = 3.299622
phi[846] = 3.340271
phi[847] = 3.380887
phi[848] = 3.421472
phi[849] = 3.462026
phi[850] = 3.502552
phi[851] = 3.543052
phi[852] = 3.583526
phi[853] = 3.623976
phi[854] = 3.664404
phi[855] = 3.704810
phi[856] = 3.745196
phi[857] = 3.785562
phi[858] = 3.825909
phi[859] = 3.866239
phi[860] = 3.906553
phi[861] = 3.946851
phi[862] = 3.987133
phi[863] = 4.027402
phi[864] = 4.067656
phi[865] = 4.107898
phi[866] = 4.148128
phi[867] = 4.188345
phi[868] = 4.228552
phi[869] = 4.268747
phi[870] = 4.308933
phi[871] = 4.349109
phi[872] = 4.389275
phi[873] = 4.429433
phi[874] = 4.469582
phi[875] = 4.509723
phi[876] = 4.549857
phi[877] = 4.589982
phi[878] = 4.630101
phi[879] = 4.670213
phi[880] = 4.710318
phi[881] = 4.750417
phi[882] = 4.790510
phi[883] = 4.830597
phi[884] = 4.870678
phi[885] = 4.910754
phi[886] = 4.950825
phi[887] = 4.990891
phi[888] = 5.030951
phi[889] = 5.071007
phi[890] = 5.111058
phi[891] = 5.151105
phi[892] = 5.191147
phi[893] = 5.231185
phi[894] = 5.271219
phi[895] = 5.311248
phi[896] = 5.351274
phi[897] = 5.391295
phi[898] = 5.431313
phi[899] = 5.471326
phi[900] = 5.511336
phi[901] = 5.551342
phi[902] = 5.591344
phi[903] = -4.836377
phi[904] = -4.806385
phi[905] = -4.776407
phi[906] = -4.746445
phi[907] = -4.716497
phi[908] = -4.686564
phi[909] = -4.656645
phi[910] = -4.626742
phi[911] = -4.596854
phi[912] = -4.566982
phi[913] = -4.537124
phi[914] = -4.507282
phi[915] = -4.477456
phi[916] = -4.447646
phi[917] = -4.417851
phi[918] = -4.388073
phi[919] = -4.358311
phi[920] = -4.328566
phi[921] = -4.298838
phi[922] = -4.269127
phi[923] = -4.239434
phi[924] = -4.209759
phi[925] = -4.180101
phi[926] = -4.150462
phi[927] = -4.120842
phi[928] = -4.091242
phi[929] = -4.061661
phi[930] = -4.032100
phi[931] = -4.002559
phi[932] = -3.973040
phi[933] = -3.943542
phi[934] = -3.914067
phi[935] = -3.884614
phi[936] = -3.855184
phi[937] = -3.825778
phi[938] = -3.796397
phi[939] = -3.767040
phi[940] = -3.737710
phi[941] = -3.708406
phi[942] = -3.679129
phi[943] = -3.649881
phi[944] = -3.620661
phi[945] = -3.591472
phi[946] = -3.562313
phi[947] = -3.533186
phi[948] = -3.504092
phi[949] = -3.475031
phi[950] = -3.446006
phi[951] = -3.417016
phi[952] = -3.388064
phi[953] = -3.359150
phi[954] = -3.330277
phi[955] = -3.301444
phi[956] = -3.272654
phi[957] = -3.243908
phi[958] = -3.215209
phi[959] = -3.186556
phi[960] = -3.157953
phi[961] = -3.129401
phi[962] = -3.100902
phi[963] = -3.072459
phi[964] = -3.044072
phi[965] = -3.015745
phi[966] = -2.987480
phi[967] = -2.959280
phi[968] = -2.931146
phi[969] = -2.903083
phi[970] = -2.875093
phi[971] = -2.847178
phi[972] = -2.819344
phi[973] = -2.791593
phi[974] = -2.763928
phi[975] = -2.736355
phi[976] = -2.708877
phi[977] = -2.681500
phi[978] = -2.654228
phi[979] = -2.627066
phi[980] = -2.600021
phi[981] = -2.573098
phi[982] = -2.546305
phi[983] = -2.519649
phi[984] = -2.493138
phi[985] = -2.466780
phi[986] = -2.440585
phi[987] = -2.414565
phi[988] = -2.388730
phi[989] = -2.363094
phi[990] = -2.337671
phi[991] = -2.312478
phi[992] = -2.287534
phi[993] = -2.262859
phi[994] = -2.238478
phi[995] = -2.214421
phi[996] = -2.190718
